video_id,comment_id,author,text,like_count,published_at
0msPCoU0GY8,UgwaOZ1XXEFdR7L28Bx4AaABAg,Amit Bhadana,Hit like and share for SSC SIR ♥️,17598,2023-10-28T08:07:37Z
d3O2cnQHItg,UgxRZeJ-gB6t1wfbuSx4AaABAg,Amit Bhadana,Comment karke bataye Episode 03 kaisa laga? ♥️,8353,2023-10-23T13:52:06Z
OKzvVmX7naI,UgxB6JWoDSBjWh7VZ154AaABAg,Amit Bhadana,&quot;Safalta ke Sau rishtedar hote hai aur Asafalta ke Sau Dushman&quot; 🥹,13516,2023-10-17T08:00:43Z
AlAJ3Ykst7E,UgzkXlnRdq08S36wTod4AaABAg,Amit Bhadana,&quot; Yeh time yaari ka nahi taiyyari ka hai&quot; ♥️💪🏽,27554,2023-10-12T08:01:39Z
BwBY_2w1Ygo,UgwDI6BioM9NYXjSaul4AaABAg,Amit Bhadana,&quot;Kar jaayenge ya ghar jaayenge&quot;<br>Kaisa laga aap sabhi ko trailer? ♥️,13817,2023-10-06T10:40:05Z
cE0ZbRKWK8c,UgxBILnNE2gwrTILUlN4AaABAg,𝗠𝗲𝗿𝗿𝘆 𝗙𝗮𝗰𝘁,सेठों के सेठ BHADANA सेठ बाकी सब PHOTO स्टेट 🙏love you amit Bhai 🥰 purest content ✌ old is always gold 🏆 aapke Jaisa Na Koi tha aur na Hi Rahega  🖤,1807,2023-05-14T07:36:00Z
Mhkb8EbZaf0,UgwhGPXvXI2OqYQ19xl4AaABAg,Faisal Saifi,"<b>Following him since 2016</b> ❤, <b>and he is creating</b> ✊ <b>top-notch content</b> ✨ <b>and still he is down to earth</b> 🌎 <b>person</b> 😊<br><b>Love uh Amit brother</b> <b>Love you</b> ❤☺",467,2023-04-06T12:50:03Z
XS0ANHZQbOg,Ugw_9Q47f_fOpBEtCzh4AaABAg,Pg Inspiration 1M,This man deserves more views and subscriber hat&#39;s off for this legend,866,2023-03-01T18:05:30Z
8KxhPvDw97U,UgykimH7owc4QW_slIt4AaABAg,Rajan Ke Facts,Only Youtuber In India Who Makes Video On Reality ❤️ AMIT BHADANA 🔥,4406,2023-02-03T15:00:23Z
45n4vHs1hww,UgxGgC_rsZ4Mf25YkhN4AaABAg,Ayush Gupta,We want part 3 amit sir ❤😊🥹 you are great actor and writer 🌈 love you,42,2023-05-17T18:41:58Z
mwKJfNYwvm8,UgzD5_2-lgF6K4yuvex4AaABAg,MrBeast,"Visit <a href=""https://www.beastphilanthropy.org/campaign/mrbeast-100-wells"">https://www.beastphilanthropy.org/campaign/mrbeast-100-wells</a> to donate and help us build more wells!",87751,2023-11-04T15:59:31Z
l9_8_pDTmis,UgxGHnTM6bONyakeeot4AaABAg,Orange Water,"Dude didn’t even care about the money, he just wanted that turkey leg. 😂",83499,2023-11-02T17:23:02Z
n7x4Jj9pdH8,UgxPPhR6PpMoBWQJAMJ4AaABAg,Fulcrum,Jimmy just flat out ignored the dude 😭😭,50060,2023-10-31T19:30:59Z
QjvpjXdgugA,UgzJ-O5rjnYoKFLQuLh4AaABAg,MrBeast,"Before anyone asks, I blew them up when they touched a laser because it was cooler then them just walking off set. No one died in this filming haha",234474,2023-10-28T16:04:14Z
jGAJCAuV3pQ,UgytYR3XgK7xJSrqMCp4AaABAg,Gunga_bungo,Nolan is unhinged.,53148,2023-10-19T17:07:39Z
c0v8OPItCOg,UgziCjogJHwUJmEZA3F4AaABAg,Sawyer Ryker,The instant recoil Jimmy had when the toilet opened on its own was hilarious 😂,31990,2023-10-17T17:37:32Z
3ryID_SwU5E,UgzNL6x5pAPFHEnc7lR4AaABAg,MrBeast,Make sure you/your parents give away Feastables on Halloween!,103018,2023-10-14T16:32:44Z
IemzxkkzI5s,UgzpzGZBXxP8djghsfB4AaABAg,Helena Bang-Löwgren,Imagine being the Pizza Hut delivery guy and see this😭😭😭,126977,2023-10-12T20:43:07Z
3OFj6l2tQ9s,UgzfJjjj4IS2da-5RiV4AaABAg,MrBeast,Subscribe so we can hit 200M!,263392,2023-10-07T15:59:39Z
bvlFjrcpD6s,Ugyzetth3J8UcqOLi9x4AaABAg,MrBeast,SUBSCRIBE!,235035,2023-10-05T17:00:18Z
wXEM3gKEjmc,UgykilJlTbHSmSe0pjR4AaABAg,veka lagu,Ojalá lo hagan así para todos y de verdad los cuiden  gracias 😊,0,2023-11-08T02:08:11Z
IuE2Z3TX6Uk,UgxiOe8GSEctKmcJNud4AaABAg,la rosa de guadalupe,Que DiosJehova los bendiga y ampare siempre bendiciones y que tengas un hermoso y bendecido día,0,2023-11-08T01:43:41Z
wWzt5bn3SvI,UgwyOSOxKjwtSQ_Yxs14AaABAg,Judith Arana Hernandez,Estaba mejor como estaba. Con ese disfraz hasta corre riesgo que la confundan con una chava de las esquinas..,0,2023-11-08T02:04:50Z
XmjD_JDdKAI,Ugw42HS2bYJ7O3uOKHR4AaABAg,Mirian Pimentel,😅😅😅😊😊,0,2023-11-08T01:56:31Z
1BDo6jhxNsI,UgyXVwa6sojRk_SofHd4AaABAg,veka lagu,Q orgullo 🎉❤,0,2023-11-08T02:24:45Z
UrIaQbIK2E4,UgylbGgk5syUK_lOezx4AaABAg,BB Ki Vines,"Cheeni waali mummy !!! 🤣🤣🤣<br><br>Comment your favourite dialogue. Don&#39;t forget to LIKE the video! <br>Keep Sharing, Keep Loving! ❤",35227,2023-05-07T07:49:27Z
Nwh6CQ50h0g,UgxV1-g2lvC6-GpZIMt4AaABAg,BB Ki Vines,"Mere birthday ka gift aap sabke liye! :) Isko 2M likes pe le jaaye? 😍<br>Taaza Khabar is now streaming on Disney+ Hotstar !!!<br><br>Keep Sharing, Keep Loving! ❤",17710,2023-01-21T13:19:58Z
HbTON0nb4DU,Ugzp_O6XRGEhPFsqUiV4AaABAg,BB Ki Vines,"Meri koi backing nahi hai, lekin passion mein bhi lacking nahi hai..🥹💪🏼<br><br>Keep Sharing, Keep Loving! ♥️",66172,2023-01-03T12:39:23Z
zm6xa3ggt5A,Ugyjd1xWOkL82Cs9Y3l4AaABAg,BB Ki Vines,"Aapka support chaahiye! Need a Like and Comment from each one of you so that this trailer reaches more people♥️<br><br>Taaza Khabar, my debut OTT showing streaming 6th January, 2023 on Disney+ Hotstar! ❤️‍🔥",19136,2022-12-13T06:38:19Z
xNTW2KfErTM,UgwpPXijYudVRQXKe1Z4AaABAg,BB Ki Vines,"Bablooji: “Abbas Mustan ka sandaas lag raha hai nahi?” 😂😂😂<br><br>Keep Sharing, Keep Loving! ♥️",25281,2022-08-27T12:34:34Z
cVPI4ppiDSA,UgwTs5VqHSiUZO8uHet4AaABAg,BB Ki Vines,"I want you all to Like, comment and share this video with your friends &amp; family. This is my debut outside YT and need your support like always! 🙏🏼 See you soon❤️<br><a href=""http://www.youtube.com/results?search_query=%23taazakhabar"">#TaazaKhabar</a>",16886,2022-06-10T06:02:30Z
xna_PkWzPVE,UgwCwD8edCkBjjzh4OF4AaABAg,BB Ki Vines,"&quot;Aajkal ki filmon mein storyline se zyaada jawline ki izzat hai&quot;<br>How true! Episode pasand aaya toh LIKE thok dena. <br><br>Keep Sharing, Keep Loving! &lt;3",62390,2022-03-25T09:40:46Z
PgKxqbXO198,UgxDVedxL88mQc_kHEp4AaABAg,BB Ki Vines,"Bollywood ke hote hain crunches aur deadlift, bhaad mein gayi script! :D :D <br>Episode pasand aaya toh LIKE daba dena.<br><br>Keep Sharing, Keep Loving! &lt;3",35075,2022-03-15T12:32:29Z
WEExPj6CMss,Ugy_AZQlAGccCfcsV6d4AaABAg,BB Ki Vines,"Gaana pasand aaya toh LIKE kar dena. <br>Comment karke favourite part bataao♥️<br><br>Keep Sharing, Keep Loving!",27016,2021-12-16T08:53:37Z
l8zlKap1JEo,Ugx9AlcX4LsGTZAPoPx4AaABAg,BB Ki Vines,"Video available in 4K !! Enjoy! <br>Share it with your friends!<br><br>Keep Sharing, Keep Loving! &lt;3",178071,2021-12-09T08:37:36Z
2GJESMezQRU,UgzRsJ7223O8qapXXJF4AaABAg,Resumen  con JC,A quien mas le gustaria que Luisito visite la tierra del Señor de los anillos &quot;Nueva Zelanda&quot;?,1010,2023-11-07T17:00:42Z
fTUre_Sl20A,UgzCzU_M8h_q69biX-p4AaABAg,Esttik,"Me encantó juntar nuestras salchichas para hacer tremendo hot dog, ya estoy deseando comerme unos 35 ❤",6770,2023-11-03T19:15:50Z
Zh6kAWTGQ0s,UgxK3Wg78wHWKs5B_h94AaABAg,Gigii22,El perro rastafari ganó sin dudas jajajaja🤣❤️,429,2023-11-01T20:41:32Z
WIOOLzXpdRw,Ugy-eOL72D_CZCbsa7R4AaABAg,Alejandro Ortiz,"Ver un vídeo de Luisito mientras almuerzas, épico nunca pasa de moda.",365,2023-11-01T17:58:19Z
u_7nNWRg8L8,Ugxyy6-1g_fC_zSdCs54AaABAg,Carlos Nichols,De solo ver la hamburguesa ya me dio hambre 🍔😋,1828,2023-10-26T18:44:19Z
1zOJv-JuXuQ,UgxwzOd6_hmOF-8ZHS14AaABAg,Jairob12,"Los dueños de ese hotel deberían aprovechar y convertir el hotel en uno con temática de terror, total no deben cambiarle mucho XD.",3487,2023-10-23T23:03:29Z
cdEjMstxXpk,Ugw_7PQoomay_hG5wFN4AaABAg,Job Othoniel,"✔La Sphere en las Vegas es realmente impresionante, vale la pena la visita y disfrutar el Postcard From Earth, casi en cualquier lugar se ve increible!!!",62,2023-10-23T17:52:56Z
Wa7zKL2abFc,Ugw_s9m7w64CMYQNwL14AaABAg,Carlos Giron,"Luisito comunica es el único ser humano que ha logrado que veamos un comercial de 11 minutos y que lo tomemos como diversión, grande Luisito 👌",9371,2023-10-17T18:01:15Z
PAjZE9CdSnY,UgzyEdlETdwI-m_bTE54AaABAg,rochbacru,"Hola Luisillo, hace un tiempo viajé a Cancún y cuando aterrizamos todos se pararon de sus asientos tal como lo describes en tu video, pero una azafata tomó el micrófino y con voz fuerte y decidida dijo: &quot;TODOS SE SIENTAN HASTA QUE LES AVISEMOS&quot; y fue tan potente la orden que dió que todos se sentaron de inmediato... fue genial.",3073,2023-10-17T12:33:20Z
wUuS1JCZGHs,UgzfkWl77Mxf0SnCqEt4AaABAg,alvaro fndz,"soy el único que le ha impactado la forma tan genial de hablar que tiene el cocinero, tiene voz de doblaje",3387,2023-10-12T19:03:55Z
6lw4Cbk1IzA,UgwH9yWM5qSZvbZI1Cp4AaABAg,Sooyaaa__,"4 dancers, 4 rappers, 4 vocalists, 4 visuals and 4 queens. BLACKPINK NEVER DISAPPOINTS.",623,2023-10-24T20:46:46Z
Yl_rmlS4u9s,Ugy71-ztPK7hwg-y8e14AaABAg,miguel 10k challenge with 0 video,Lisa - best dancer<br>Jennie - best rapper<br>Jisoo - best look<br>Rosé - best singer<br>The perfect group exists!!!,1684,2023-10-13T11:43:00Z
q9lQG1shW6o,UgwB_bzLgyF7gfkSD0J4AaABAg,BLACKPINK,"JENNIE - ‘You &amp; Me’ DANCE PERFORMANCE VIDEO<br><a href=""https://youtu.be/eQNHDV7lKgE"">https://youtu.be/eQNHDV7lKgE</a>",2463,2023-10-13T09:02:27Z
OCxrWKk-Jbw,Ugxf4nv57YMtVgTswoR4AaABAg,rani...♡,You are so beautiful JENNIE!,5407,2023-10-11T05:52:45Z
ZgLlabyz7oY,Ugy9pd_ja0h2sbinWyd4AaABAg,BLACKPINK,"JENNIE - ‘You &amp; Me’ DANCE PERFORMANCE VIDEO<br><a href=""https://youtu.be/eQNHDV7lKgE"">https://youtu.be/eQNHDV7lKgE</a>",18870,2023-10-11T04:03:27Z
fLfPgF92c-g,Ugzk8tfYAjFgTCP25-B4AaABAg,Jenxdukie,The transitions in each outfit is just honestly so pretty,17079,2023-10-08T04:12:20Z
ZSc-zcWl2g8,UgzmzvaHM23MUzUgrSV4AaABAg,BLACKPINK,"JENNIE - ‘You &amp; Me’ DANCE PERFORMANCE VIDEO<br><a href=""https://youtu.be/eQNHDV7lKgE"">https://youtu.be/eQNHDV7lKgE</a>",8638,2023-10-08T04:01:17Z
jFJzCODStOQ,Ugz3Pwx-ceR8N4dByeB4AaABAg,Aysha Irfan,This vid is a work of art,6826,2023-10-07T04:02:50Z
TIbItS4-4bQ,UgxXvDxGtq4DRIacbCV4AaABAg,Blinks💗,"<b>4 rappers, 4 dancers, 4 vocalists, 4 visualist, and 4 queen. BLACKPINK NEVER DISAPPOINTED.!!!🖤💗</b>",60,2023-10-06T16:49:34Z
CpbJO2Z6DA4,UgxXEC-qomjG9YV1-Z54AaABAg,BLACKPINK,"JENNIE - ‘You &amp; Me’ DANCE PERFORMANCE VIDEO<br><a href=""https://youtu.be/eQNHDV7lKgE"">https://youtu.be/eQNHDV7lKgE</a>",8416,2023-10-06T07:03:26Z
